ID,Status Pernikahan,Program Studi,Kelas Reguler/Malam,Pendidikan Terakhir,Nilai SMA,Daerah Asal,Pendidikan Ibu,Pendidikan Ayah,Pekerjaan Ibu,Pekerjaan Ayah,Nilai Ujian Masuk,Pindahan,Berkebutuhan Khusus,Status pembayaran semester terakhir,Jenis Kelamin,Beasiswa,Usia saat mendaftar,IP Semester 1,IP Semester 2,Target
00814,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,59.65,Ya,Tidak,Sudah,Wanita,Ya,19,2.28,2.28,Lulus Tepat Waktu
00816,Belum Menikah,Keperawatan,Reguler,Perguruan Tinggi,66.55,Pulau Jawa,Dibawah SMA/Sederajat,D3/S1/Sederajat,Wiraswasta,Lainnya,61.65,Ya,Tidak,Sudah,Wanita,Ya,21,0,0,Gagal
00823,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,65,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Pegawai Swasta,65,Tidak,Tidak,Belum,Pria,Tidak,32,2.95,3,Gagal
00824,Belum Menikah,Teknik Industri,Reguler,SMA/Sederajat,66.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,62.2,Ya,Tidak,Sudah,Wanita,Ya,18,2.66,3.03,Lulus Tepat Waktu
00825,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,56.45,Tidak,Tidak,Sudah,Wanita,Tidak,38,2.19,2.37,Gagal
00827,Menikah,Teknik Industri,Reguler,SMA/Sederajat,66.55,Luar Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,76.4,Ya,Tidak,Sudah,Wanita,Tidak,28,2.49,2.46,Lulus Tidak Tepat Waktu
00828,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,61.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,61.7,Ya,Tidak,Sudah,Pria,Tidak,18,2.47,2.73,Lulus Tepat Waktu
00830,Belum Menikah,Manajemen,Reguler,Perguruan Tinggi,60,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Pegawai Swasta,60,Ya,Tidak,Sudah,Wanita,Tidak,21,2.72,2.85,Lulus Tepat Waktu
00832,Belum Menikah,Perpustakaan,Reguler,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,55,Tidak,Tidak,Sudah,Pria,Tidak,31,3.03,2.92,Lulus Tepat Waktu
00833,Belum Menikah,Teknik Mesin,Reguler,SMA/Sederajat,66.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,60.05,Ya,Tidak,Sudah,Wanita,Tidak,18,2.55,2.35,Lulus Tepat Waktu
00835,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,70.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Wiraswasta,70.35,Ya,Tidak,Sudah,Pria,Tidak,20,2.52,2.9,Lulus Tepat Waktu
00836,Belum Menikah,Teknik Mesin,Reguler,Perguruan Tinggi,75,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Pegawai Negri,Pegawai Negri,75,Tidak,Tidak,Sudah,Wanita,Tidak,20,2.9,2.25,Lulus Tidak Tepat Waktu
00839,Menikah,Ekonomi,Malam,SMA/Sederajat,80,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,57.15,Tidak,Tidak,Sudah,Pria,Tidak,40,2.2,2.5,Lulus Tidak Tepat Waktu
00841,Belum Menikah,Jurnalistik,Reguler,SMA/Sederajat,60,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,59.15,Tidak,Tidak,Belum,Pria,Ya,18,2.43,2.4,Gagal
00845,Menikah,Teknik Industri,Reguler,Perguruan Tinggi,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,49.75,Ya,Tidak,Belum,Wanita,Ya,37,3.2,0,Gagal
00846,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,62,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,57.3,Ya,Tidak,Sudah,Pria,Tidak,19,2.4,2.6,Gagal
00847,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,61,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Pegawai Negri,58.3,Ya,Tidak,Sudah,Pria,Ya,20,2.66,2.52,Lulus Tepat Waktu
00849,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,62.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Wiraswasta,Pegawai Swasta,57.6,Ya,Tidak,Sudah,Wanita,Tidak,18,0,0,Lulus Tidak Tepat Waktu
00850,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,62.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,62.7,Ya,Tidak,Sudah,Pria,Tidak,19,2.67,2.2,Gagal
00851,Belum Menikah,Teknik Industri,Reguler,SMA/Sederajat,59,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Pegawai Negri,58.9,Ya,Tidak,Sudah,Wanita,Ya,19,2.48,2.56,Lulus Tepat Waktu
00853,Belum Menikah,Teknologi Informasi,Reguler,Perguruan Tinggi,66.55,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Wiraswasta,58,Ya,Tidak,Sudah,Wanita,Tidak,29,0,0,Gagal
00855,Belum Menikah,Teknik Mesin,Reguler,Perguruan Tinggi,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,64.4,Tidak,Tidak,Sudah,Wanita,Tidak,21,2.58,2.68,Gagal
00856,Belum Menikah,Teknik Mesin,Reguler,SMA/Sederajat,65,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,57.9,Tidak,Tidak,Belum,Wanita,Tidak,18,0,0,Gagal
00858,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,59,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,55.5,Tidak,Tidak,Belum,Pria,Tidak,21,2.2,2.29,Gagal
00859,Belum Menikah,Teknik Mesin,Reguler,SMA/Sederajat,77,Pulau Jawa,Lebih dari S1,Lebih dari S1,Wiraswasta,Wiraswasta,70.7,Tidak,Tidak,Sudah,Wanita,Ya,19,3,2.97,Lulus Tepat Waktu
00863,Belum Menikah,Teknik Mesin,Reguler,SMA/Sederajat,63.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,58.8,Tidak,Tidak,Sudah,Wanita,Tidak,18,0,0,Gagal
00864,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,75,Luar Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,73.25,Ya,Tidak,Belum,Pria,Tidak,22,2.3,2.48,Lulus Tepat Waktu
00865,Belum Menikah,Perpustakaan,Reguler,SMA/Sederajat,62.5,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Wiraswasta,Lainnya,62.5,Ya,Tidak,Sudah,Wanita,Tidak,21,2.4,2.25,Lulus Tepat Waktu
00867,Belum Menikah,Keperawatan,Reguler,Perguruan Tinggi,66.55,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,70,Ya,Tidak,Sudah,Pria,Tidak,24,2.63,2.53,Gagal
00869,Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,65,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,51.7,Tidak,Tidak,Sudah,Wanita,Tidak,30,2.35,2.23,Gagal
00870,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,71.5,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Wiraswasta,73.6,Tidak,Tidak,Sudah,Wanita,Tidak,18,3.14,3,Lulus Tepat Waktu
00871,Belum Menikah,Teknik Mesin,Reguler,Perguruan Tinggi,55,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,55,Tidak,Tidak,Sudah,Pria,Tidak,23,0,0,Gagal
00873,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,69,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,64.65,Ya,Tidak,Sudah,Wanita,Ya,18,2.65,2.59,Lulus Tepat Waktu
00874,Menikah,Pariwisata,Malam,SMA/Sederajat,85,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Wiraswasta,85,Tidak,Tidak,Sudah,Wanita,Tidak,27,0,0,Gagal
00877,Belum Menikah,Perpajakan,Reguler,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Pegawai Swasta,Lainnya,64.7,Ya,Tidak,Belum,Pria,Tidak,23,0,0,Gagal
00881,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,70.5,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,68.95,Ya,Tidak,Belum,Pria,Tidak,20,2.4,2.55,Gagal
00885,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,71.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Negri,Lainnya,67.5,Tidak,Tidak,Sudah,Wanita,Ya,20,2.48,2.57,Lulus Tepat Waktu
00887,Belum Menikah,Teknik Mesin,Reguler,SMA/Sederajat,66.55,Luar Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,50.65,Tidak,Tidak,Sudah,Wanita,Tidak,18,2.6,2.45,Lulus Tepat Waktu
00889,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,70,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Lainnya,62.85,Ya,Tidak,Sudah,Pria,Ya,19,2.24,2.24,Lulus Tidak Tepat Waktu
00891,Belum Menikah,Manajemen,Reguler,SMA/Sederajat,59.5,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,57.6,Tidak,Tidak,Sudah,Pria,Ya,21,2.3,2.2,Gagal
00893,Menikah,Perpajakan,Reguler,SMA/Sederajat,55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,53.4,Tidak,Tidak,Sudah,Pria,Tidak,34,2,0,Gagal
00894,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,61.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,58.7,Ya,Tidak,Sudah,Wanita,Ya,18,2.4,2.28,Lulus Tepat Waktu
00895,Belum Menikah,Jurnalistik,Reguler,SMA/Sederajat,60.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Lainnya,59.45,Ya,Tidak,Sudah,Wanita,Tidak,20,2.67,2.56,Lulus Tepat Waktu
00896,Belum Menikah,Pariwisata,Malam,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,48.75,Ya,Tidak,Sudah,Pria,Tidak,29,0,0,Gagal
00897,Belum Menikah,Perpustakaan,Reguler,SMA/Sederajat,70,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Wiraswasta,70,Ya,Tidak,Sudah,Pria,Tidak,25,2.33,2.4,Lulus Tidak Tepat Waktu
00898,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,60.5,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Pegawai Negri,57.9,Ya,Tidak,Sudah,Wanita,Ya,19,2.32,2.32,Lulus Tepat Waktu
00900,Belum Menikah,Ekonomi,Malam,Perguruan Tinggi,60,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Lainnya,Lainnya,60,Tidak,Tidak,Sudah,Wanita,Tidak,27,3.04,2.8,Lulus Tidak Tepat Waktu
00901,Belum Menikah,Teknik Mesin,Reguler,SMA/Sederajat,65,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,67.1,Ya,Tidak,Sudah,Wanita,Tidak,20,0,0,Gagal
00903,Menikah,Pariwisata,Malam,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,60,Tidak,Tidak,Belum,Wanita,Tidak,35,0,0,Gagal
00905,Belum Menikah,Manajemen,Reguler,SMA/Sederajat,64,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,61.75,Ya,Tidak,Sudah,Pria,Ya,21,2.63,2.66,Lulus Tepat Waktu
00907,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,67.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Pegawai Swasta,68.05,Ya,Tidak,Sudah,Wanita,Ya,18,2.8,2.73,Lulus Tepat Waktu
00909,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,68,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Wiraswasta,Lainnya,62.75,Ya,Tidak,Sudah,Wanita,Ya,21,2.81,2.81,Lulus Tepat Waktu
00910,Belum Menikah,Teknik Mesin,Reguler,SMA/Sederajat,75,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,86.65,Ya,Tidak,Sudah,Wanita,Tidak,25,3.37,3.3,Lulus Tepat Waktu
00911,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,64,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,60,Tidak,Tidak,Sudah,Wanita,Ya,18,2.7,2.57,Lulus Tepat Waktu
00912,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,80,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Lainnya,59,Tidak,Tidak,Sudah,Wanita,Tidak,53,2.36,2.33,Lulus Tidak Tepat Waktu
00913,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,67,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Pegawai Swasta,Pegawai Negri,60.7,Ya,Tidak,Sudah,Wanita,Ya,23,2.85,2.4,Lulus Tidak Tepat Waktu
00917,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,64,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,60.25,Ya,Tidak,Sudah,Wanita,Ya,19,2.61,2.5,Lulus Tidak Tepat Waktu
00918,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,72.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Pegawai Negri,65,Ya,Tidak,Sudah,Wanita,Tidak,18,2.75,2.75,Lulus Tepat Waktu
00921,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,61.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,56.8,Ya,Tidak,Sudah,Wanita,Tidak,21,2.94,2.92,Lulus Tepat Waktu
00922,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,75,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,75.1,Ya,Tidak,Belum,Wanita,Tidak,28,2.55,0,Gagal
00930,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,49.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Lainnya,50,Ya,Tidak,Sudah,Pria,Tidak,19,2.4,2.63,Lulus Tepat Waktu
00932,Cerai,Perbankan,Reguler,Perguruan Tinggi,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,65,Ya,Tidak,Sudah,Wanita,Tidak,32,2.73,2.53,Lulus Tidak Tepat Waktu
00936,Belum Menikah,Keperawatan,Reguler,Perguruan Tinggi,60,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,60,Ya,Tidak,Belum,Wanita,Tidak,19,2.32,2.2,Gagal
00941,Belum Menikah,Jurnalistik,Reguler,SMA/Sederajat,60.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,56.5,Ya,Tidak,Sudah,Pria,Ya,18,2.33,2.04,Lulus Tepat Waktu
00944,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,60,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,57.9,Tidak,Tidak,Sudah,Wanita,Tidak,18,2.4,2.43,Lulus Tidak Tepat Waktu
00945,Cerai,Akuntansi,Reguler,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Swasta,85,Tidak,Tidak,Belum,Pria,Tidak,53,2.87,0,Gagal
00948,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,65,Luar Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Swasta,65,Tidak,Tidak,Sudah,Pria,Tidak,21,3.02,2.62,Lulus Tidak Tepat Waktu
00950,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,70,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,62.6,Tidak,Tidak,Sudah,Wanita,Tidak,41,2.47,2.42,Lulus Tepat Waktu
00952,Menikah,Pariwisata,Malam,SMA/Sederajat,66.55,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,72.15,Tidak,Tidak,Sudah,Pria,Tidak,41,2.5,2.43,Lulus Tepat Waktu
00958,Belum Menikah,Jurnalistik,Reguler,SMA/Sederajat,70.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,66.85,Ya,Tidak,Sudah,Wanita,Ya,18,2.97,2.7,Lulus Tepat Waktu
00959,Belum Menikah,Ekonomi,Malam,Perguruan Tinggi,70,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,70,Tidak,Tidak,Sudah,Wanita,Tidak,26,2.8,3.12,Lulus Tepat Waktu
00960,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,68.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Wiraswasta,Lainnya,63.15,Ya,Tidak,Sudah,Wanita,Ya,19,2.47,2.6,Lulus Tepat Waktu
00962,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,69.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,63.05,Tidak,Tidak,Sudah,Wanita,Ya,19,2.47,2.57,Lulus Tepat Waktu
00963,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,62.5,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Pegawai Negri,59,Ya,Tidak,Sudah,Wanita,Ya,19,2.45,2.47,Lulus Tepat Waktu
00967,Belum Menikah,Teknik Industri,Reguler,SMA/Sederajat,62.5,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Lainnya,Lainnya,60.75,Ya,Tidak,Sudah,Wanita,Tidak,20,2.7,2.25,Gagal
00968,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,69,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,72.5,Ya,Tidak,Sudah,Wanita,Tidak,18,2.6,2.8,Lulus Tepat Waktu
00970,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,70.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,66.65,Ya,Tidak,Sudah,Pria,Tidak,18,2.75,2.24,Lulus Tidak Tepat Waktu
00971,Belum Menikah,Jurnalistik,Reguler,SMA/Sederajat,65.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Wiraswasta,63.6,Ya,Tidak,Sudah,Wanita,Ya,18,2.63,2.64,Gagal
00973,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,75,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,69.25,Tidak,Tidak,Sudah,Wanita,Ya,18,2.8,2.72,Lulus Tepat Waktu
00974,Belum Menikah,Keperawatan,Reguler,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,63.9,Tidak,Tidak,Sudah,Pria,Tidak,18,2.86,2.97,Lulus Tepat Waktu
00975,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,70,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,70,Tidak,Tidak,Sudah,Wanita,Tidak,29,2.27,2.27,Gagal
00976,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,60,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,56.5,Ya,Tidak,Sudah,Wanita,Ya,20,2.34,2.53,Lulus Tepat Waktu
00977,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,61,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Wiraswasta,63.3,Tidak,Tidak,Belum,Wanita,Tidak,18,2.08,0,Gagal
00978,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,73.5,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Lainnya,Lainnya,67.2,Ya,Tidak,Sudah,Pria,Ya,18,0,0,Lulus Tepat Waktu
00979,Menikah,Agronomi,Reguler,SMA/Sederajat,63.3,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,53.75,Tidak,Tidak,Sudah,Wanita,Ya,42,2.67,3.06,Lulus Tepat Waktu
00980,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,69,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Pegawai Swasta,62.55,Ya,Ya,Sudah,Wanita,Ya,19,2.7,2.56,Gagal
00983,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,72,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Lainnya,70.5,Ya,Tidak,Sudah,Wanita,Ya,19,2.5,2.5,Lulus Tepat Waktu
00984,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,65.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,67.95,Ya,Tidak,Sudah,Wanita,Ya,18,2.63,2.49,Lulus Tepat Waktu
00986,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,68,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,76.25,Ya,Tidak,Sudah,Wanita,Tidak,20,0,0,Lulus Tidak Tepat Waktu
00991,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,64.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,62.4,Ya,Tidak,Sudah,Pria,Tidak,18,0,0,Gagal
00992,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,75,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Negri,Pegawai Negri,56.85,Tidak,Tidak,Sudah,Pria,Tidak,30,2.29,2.32,Lulus Tepat Waktu
00994,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,60,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Pegawai Negri,Wiraswasta,70.2,Tidak,Tidak,Sudah,Wanita,Tidak,31,2.28,2.35,Gagal
00997,Belum Menikah,Perpustakaan,Reguler,SMA/Sederajat,66.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,62.65,Ya,Tidak,Sudah,Wanita,Tidak,21,2.38,2.29,Lulus Tepat Waktu
00998,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,65.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,61.5,Ya,Tidak,Sudah,Wanita,Ya,18,2.33,2.7,Lulus Tidak Tepat Waktu
01001,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,63.5,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,60.55,Tidak,Tidak,Sudah,Wanita,Ya,18,2.43,2.68,Lulus Tidak Tepat Waktu
01006,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,75.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,66.15,Tidak,Tidak,Sudah,Pria,Tidak,19,2.57,2.57,Lulus Tepat Waktu
01007,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,74,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Negri,69.15,Ya,Tidak,Sudah,Pria,Tidak,19,2.75,0,Gagal
01012,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,65,Ya,Tidak,Sudah,Wanita,Tidak,26,2.6,2.4,Lulus Tidak Tepat Waktu
01014,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,50,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,76.75,Tidak,Tidak,Belum,Pria,Tidak,31,0,0,Gagal
01016,Belum Menikah,Teknik Mesin,Reguler,SMA/Sederajat,56.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,59.3,Ya,Tidak,Sudah,Wanita,Ya,21,2.9,2.93,Lulus Tepat Waktu
01018,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,70.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Wiraswasta,63.85,Tidak,Tidak,Sudah,Wanita,Ya,18,2.26,2.7,Lulus Tepat Waktu
01021,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,82.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,76.2,Ya,Tidak,Sudah,Wanita,Ya,18,3.1,2.86,Lulus Tepat Waktu
01022,Belum Menikah,Teknik Mesin,Reguler,SMA/Sederajat,59,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,56.2,Ya,Tidak,Sudah,Wanita,Tidak,19,3.06,2.78,Lulus Tepat Waktu
01024,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,55,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,58.5,Ya,Tidak,Sudah,Pria,Tidak,21,0,0,Lulus Tepat Waktu
01025,Belum Menikah,Perbankan,Reguler,Perguruan Tinggi,70.5,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Pegawai Swasta,Wiraswasta,72.5,Tidak,Tidak,Sudah,Wanita,Tidak,21,2.99,2.99,Lulus Tepat Waktu
