ID,Status Pernikahan,Program Studi,Kelas Siang/Malam,Pendidikan Terakhir,Nilai SMA,Daerah Asal,Pendidikan Ibu,Pendidikan Ayah,Pekerjaan Ibu,Pekerjaan Ayah,Nilai Ujian Masuk,Pindahan,Berkebutuhan Khusus,Status pembayaran semester terakhir,Jenis Kelamin,Beasiswa,Umur saat mendaftar,IP Semester 1,IP Semester 2,Target
02457,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,62,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Lainnya,58.35,Ya,Tidak,Sudah,Laki-laki,Tidak,19,0,0,Lulus Tidak Tepat Waktu
02461,Belum Menikah,Perbankan,Siang,SMA/Sederajat,66.55,Luar Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,50,Ya,Tidak,Belum,Perempuan,Tidak,33,2.43,2.27,Gagal
02464,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,61.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Pegawai Negri,58.9,Tidak,Tidak,Sudah,Laki-laki,Tidak,20,2.4,2.6,Lulus Tidak Tepat Waktu
02465,Belum Menikah,Perbankan,Siang,SMA/Sederajat,74.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,68.75,Tidak,Tidak,Sudah,Laki-laki,Tidak,19,2.77,2.77,Lulus Tepat Waktu
02471,Cerai,Ekonomi,Malam,SMA/Sederajat,70,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Pegawai Negri,74.9,Tidak,Tidak,Sudah,Laki-laki,Tidak,36,2.76,2.76,Lulus Tepat Waktu
02472,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,70.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,65.25,Tidak,Tidak,Sudah,Laki-laki,Tidak,19,2.85,2.77,Lulus Tepat Waktu
02475,Belum Menikah,Pertanian,Siang,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,64.95,Tidak,Tidak,Sudah,Perempuan,Ya,19,2.27,2.53,Lulus Tepat Waktu
02476,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,62.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,58.65,Ya,Tidak,Sudah,Perempuan,Tidak,18,2.8,2.8,Lulus Tepat Waktu
02477,Belum Menikah,Manajemen,Siang,SMA/Sederajat,75,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,63.2,Tidak,Tidak,Sudah,Laki-laki,Tidak,26,2.66,2.43,Lulus Tidak Tepat Waktu
02478,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,60,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Lainnya,59.3,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.16,2.25,Lulus Tepat Waktu
02480,Belum Menikah,Teknik Industri,Siang,SMA/Sederajat,65.5,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,63.3,Ya,Tidak,Sudah,Laki-laki,Tidak,23,2.48,2.7,Lulus Tidak Tepat Waktu
02481,Belum Menikah,Agronomi,Siang,SMA/Sederajat,69,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,67.1,Ya,Tidak,Sudah,Perempuan,Ya,18,3.03,2.83,Lulus Tepat Waktu
02483,Belum Menikah,Pariwisata,Malam,Perguruan Tinggi,90,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Wiraswasta,90,Tidak,Tidak,Sudah,Perempuan,Tidak,37,3.3,3.38,Lulus Tepat Waktu
02488,Belum Menikah,Perpustakaan,Siang,SMA/Sederajat,65.5,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,67.25,Ya,Tidak,Sudah,Perempuan,Ya,19,3,2.87,Lulus Tepat Waktu
02492,Belum Menikah,Perpajakan,Siang,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,50.8,Tidak,Tidak,Sudah,Laki-laki,Ya,30,0,0,Gagal
02494,Belum Menikah,Perpajakan,Siang,Perguruan Tinggi,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,47.55,Tidak,Tidak,Belum,Laki-laki,Tidak,49,0,0,Gagal
02496,Menikah,Perpustakaan,Siang,SMA/Sederajat,66.55,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Wiraswasta,53.75,Tidak,Tidak,Belum,Perempuan,Tidak,35,0,0,Gagal
02497,Belum Menikah,Perbankan,Siang,SMA/Sederajat,62.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,59.4,Tidak,Tidak,Sudah,Laki-laki,Tidak,24,2.66,2.66,Lulus Tepat Waktu
02501,Belum Menikah,Perbankan,Siang,Perguruan Tinggi,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,65,Tidak,Tidak,Sudah,Perempuan,Tidak,27,2.49,2.49,Lulus Tidak Tepat Waktu
02505,Belum Menikah,Perbankan,Siang,SMA/Sederajat,69,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,62.35,Ya,Tidak,Sudah,Laki-laki,Tidak,18,0,0,Gagal
02506,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,51,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,49.8,Ya,Tidak,Sudah,Perempuan,Ya,21,2.74,2.88,Lulus Tepat Waktu
02507,Belum Menikah,Perpajakan,Siang,Perguruan Tinggi,70,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Pegawai Negri,70,Ya,Tidak,Sudah,Laki-laki,Tidak,22,0,2.33,Lulus Tidak Tepat Waktu
02508,Belum Menikah,Manajemen,Siang,SMA/Sederajat,70,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Negri,Pegawai Negri,65.65,Tidak,Tidak,Sudah,Laki-laki,Ya,22,2.53,2.48,Lulus Tepat Waktu
02512,Belum Menikah,Jurnalistik,Siang,SMA/Sederajat,68,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Lainnya,64.5,Ya,Tidak,Sudah,Perempuan,Ya,19,2.8,2.44,Gagal
02513,Cerai,Akuntansi,Siang,SMA/Sederajat,50,Pulau Jawa,Lebih dari S1,Lebih dari S1,Wiraswasta,Lainnya,60,Tidak,Tidak,Sudah,Perempuan,Ya,39,2.12,2.15,Lulus Tepat Waktu
02514,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,58,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,57.6,Tidak,Tidak,Sudah,Laki-laki,Tidak,32,2.4,2.07,Lulus Tidak Tepat Waktu
02516,Belum Menikah,Keperawatan,Siang,SMA/Sederajat,72,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Wiraswasta,67.45,Ya,Tidak,Sudah,Perempuan,Tidak,18,2.17,2.2,Gagal
02517,Belum Menikah,Manajemen,Siang,SMA/Sederajat,58,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,61.85,Tidak,Tidak,Sudah,Perempuan,Tidak,20,2.9,2.7,Lulus Tepat Waktu
02518,Belum Menikah,Perbankan,Siang,SMA/Sederajat,66,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Pegawai Negri,62.7,Ya,Tidak,Belum,Perempuan,Ya,20,2.69,2.63,Lulus Tidak Tepat Waktu
02519,Belum Menikah,Teknologi Informasi,Siang,SMA/Sederajat,59.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,55.3,Tidak,Tidak,Sudah,Perempuan,Tidak,20,2.37,2.87,Lulus Tidak Tepat Waktu
02520,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,73.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,71.4,Ya,Tidak,Belum,Perempuan,Ya,19,2.56,2.4,Lulus Tidak Tepat Waktu
02522,Belum Menikah,Perbankan,Siang,SMA/Sederajat,67.5,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Pegawai Negri,Pegawai Negri,63.4,Ya,Tidak,Sudah,Perempuan,Ya,18,2.52,2.52,Lulus Tepat Waktu
02523,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,62.4,Ya,Tidak,Sudah,Laki-laki,Tidak,22,0,2.4,Gagal
02524,Belum Menikah,Agronomi,Siang,SMA/Sederajat,82,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,74.5,Ya,Tidak,Sudah,Perempuan,Ya,23,2.77,2.83,Lulus Tepat Waktu
02525,Belum Menikah,Perpajakan,Siang,SMA/Sederajat,65,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Lainnya,67.5,Tidak,Tidak,Sudah,Laki-laki,Tidak,25,0,2.8,Gagal
02526,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,63.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,60,Ya,Tidak,Sudah,Laki-laki,Tidak,19,2.52,2.53,Lulus Tepat Waktu
02529,Belum Menikah,Perbankan,Siang,SMA/Sederajat,63.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,60.7,Tidak,Tidak,Sudah,Laki-laki,Tidak,20,2.8,2.64,Lulus Tidak Tepat Waktu
02532,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,61.5,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,62.2,Ya,Tidak,Sudah,Perempuan,Tidak,19,3.13,2.9,Lulus Tepat Waktu
02540,Belum Menikah,Perbankan,Siang,SMA/Sederajat,76.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,73.95,Tidak,Tidak,Sudah,Perempuan,Ya,18,2.93,2.95,Lulus Tepat Waktu
02541,Belum Menikah,Perbankan,Siang,SMA/Sederajat,70,Luar Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,64.1,Tidak,Tidak,Sudah,Perempuan,Tidak,39,0,0,Gagal
02544,Belum Menikah,Perbankan,Siang,SMA/Sederajat,64.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Pegawai Negri,60.4,Ya,Tidak,Sudah,Perempuan,Ya,20,2.55,2.55,Lulus Tepat Waktu
02545,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,63.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,69.4,Ya,Tidak,Sudah,Perempuan,Tidak,22,2.83,3.09,Lulus Tepat Waktu
02547,Belum Menikah,Pertanian,Siang,SMA/Sederajat,66.5,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,60.75,Ya,Tidak,Sudah,Perempuan,Ya,20,0,0,Gagal
02552,Belum Menikah,Perbankan,Siang,SMA/Sederajat,64,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,65.75,Tidak,Tidak,Sudah,Perempuan,Tidak,18,2.55,2.55,Lulus Tepat Waktu
02554,Belum Menikah,Agronomi,Siang,SMA/Sederajat,76.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,79.85,Ya,Tidak,Sudah,Perempuan,Ya,18,3.03,3.17,Lulus Tepat Waktu
02558,Belum Menikah,Manajemen,Siang,Perguruan Tinggi,66.55,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Lainnya,Lainnya,53.3,Tidak,Tidak,Sudah,Perempuan,Tidak,31,2.2,2.03,Lulus Tidak Tepat Waktu
02559,Belum Menikah,Perpajakan,Siang,SMA/Sederajat,61,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,58.05,Ya,Tidak,Belum,Laki-laki,Tidak,24,0,0,Gagal
02565,Belum Menikah,Perbankan,Siang,SMA/Sederajat,84,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Pegawai Swasta,Wiraswasta,66.7,Ya,Tidak,Sudah,Perempuan,Tidak,23,3.02,3,Lulus Tepat Waktu
02566,Belum Menikah,Jurnalistik,Siang,SMA/Sederajat,61.5,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,58.35,Tidak,Tidak,Sudah,Perempuan,Ya,18,2.43,2.53,Lulus Tepat Waktu
02569,Belum Menikah,Perpustakaan,Siang,SMA/Sederajat,65,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,65,Ya,Tidak,Sudah,Laki-laki,Tidak,29,3.42,3.11,Lulus Tepat Waktu
02570,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,58,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Wiraswasta,56.8,Ya,Tidak,Sudah,Perempuan,Ya,22,2.8,2.48,Lulus Tepat Waktu
02572,Belum Menikah,Agronomi,Siang,SMA/Sederajat,59,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Negri,55,Ya,Tidak,Sudah,Perempuan,Tidak,18,2.4,2.72,Lulus Tepat Waktu
02573,Belum Menikah,Perbankan,Siang,SMA/Sederajat,70.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,68.15,Ya,Tidak,Sudah,Laki-laki,Ya,18,2.7,2.7,Lulus Tepat Waktu
02574,Belum Menikah,Perbankan,Siang,SMA/Sederajat,66.55,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,60.85,Tidak,Tidak,Sudah,Perempuan,Ya,27,2.52,2.34,Lulus Tidak Tepat Waktu
02575,Menikah,Pariwisata,Malam,Perguruan Tinggi,66.55,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,74.75,Tidak,Tidak,Sudah,Laki-laki,Tidak,48,0,0,Gagal
02576,Belum Menikah,Pariwisata,Malam,Perguruan Tinggi,50,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,56.5,Ya,Tidak,Sudah,Perempuan,Tidak,30,2.53,2.43,Lulus Tepat Waktu
02578,Belum Menikah,Perbankan,Siang,SMA/Sederajat,74,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Lainnya,62.5,Ya,Tidak,Sudah,Perempuan,Tidak,18,2.78,2.78,Lulus Tepat Waktu
02581,Menikah,Ekonomi,Malam,SMA/Sederajat,50,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,50,Ya,Tidak,Sudah,Laki-laki,Tidak,51,0,0,Gagal
02585,Belum Menikah,Perbankan,Siang,SMA/Sederajat,72,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,62.9,Tidak,Tidak,Sudah,Perempuan,Ya,19,2.49,2.49,Lulus Tepat Waktu
02586,Belum Menikah,Perpustakaan,Siang,Perguruan Tinggi,65,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Lainnya,66.9,Tidak,Tidak,Sudah,Perempuan,Ya,24,2.57,2.53,Lulus Tepat Waktu
02587,Belum Menikah,Pertanian,Siang,SMA/Sederajat,61,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Pegawai Swasta,56.45,Ya,Tidak,Sudah,Perempuan,Tidak,22,2.45,2.27,Lulus Tidak Tepat Waktu
02588,Cerai,Ekonomi,Malam,Perguruan Tinggi,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,76.5,Tidak,Tidak,Belum,Perempuan,Tidak,40,0,0,Gagal
02591,Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,65,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,65,Tidak,Tidak,Sudah,Perempuan,Tidak,45,2.2,2.76,Lulus Tepat Waktu
02598,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,61,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,59.8,Ya,Tidak,Sudah,Laki-laki,Tidak,18,2.73,2.86,Lulus Tepat Waktu
02603,Belum Menikah,Perpustakaan,Siang,SMA/Sederajat,66.55,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Wiraswasta,Lainnya,55,Tidak,Tidak,Sudah,Laki-laki,Tidak,31,2.88,0,Gagal
02607,Belum Menikah,Jurnalistik,Siang,SMA/Sederajat,66.55,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Pegawai Negri,57.5,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.57,2.53,Lulus Tepat Waktu
02608,Belum Menikah,Perbankan,Siang,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,64.15,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.55,2.55,Lulus Tepat Waktu
02609,Belum Menikah,Perpajakan,Siang,Perguruan Tinggi,70,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,70,Tidak,Tidak,Sudah,Laki-laki,Tidak,23,2.8,2.8,Lulus Tidak Tepat Waktu
02613,Belum Menikah,Perpajakan,Siang,SMA/Sederajat,63,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Pegawai Negri,61.25,Ya,Tidak,Sudah,Laki-laki,Tidak,19,2.4,2.4,Gagal
02614,Belum Menikah,Keperawatan,Siang,SMA/Sederajat,65.5,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Lainnya,59.2,Tidak,Tidak,Sudah,Perempuan,Tidak,19,2.4,2.57,Lulus Tepat Waktu
02615,Belum Menikah,Jurnalistik,Siang,SMA/Sederajat,82,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,80.6,Tidak,Tidak,Sudah,Laki-laki,Ya,18,3.11,3.23,Lulus Tepat Waktu
02616,Belum Menikah,Pariwisata,Malam,Perguruan Tinggi,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,65,Ya,Tidak,Sudah,Perempuan,Tidak,23,2.18,2.27,Lulus Tepat Waktu
02621,Belum Menikah,Agronomi,Siang,SMA/Sederajat,79,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Lainnya,70.25,Tidak,Tidak,Sudah,Perempuan,Ya,20,2.27,2.47,Lulus Tepat Waktu
02622,Belum Menikah,Agronomi,Siang,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,59,Tidak,Tidak,Sudah,Perempuan,Ya,20,2.28,2.3,Lulus Tepat Waktu
02624,Belum Menikah,Perbankan,Siang,SMA/Sederajat,65,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Negri,Lainnya,65,Tidak,Tidak,Sudah,Perempuan,Tidak,23,2.64,2.64,Lulus Tepat Waktu
02625,Belum Menikah,Perpustakaan,Siang,SMA/Sederajat,65,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,65,Tidak,Tidak,Sudah,Laki-laki,Tidak,28,2.61,2.46,Lulus Tepat Waktu
02628,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,77,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Lainnya,77.35,Tidak,Tidak,Sudah,Perempuan,Ya,18,2.36,2.52,Lulus Tepat Waktu
02634,Belum Menikah,Jurnalistik,Siang,SMA/Sederajat,70,Luar Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Lainnya,Pegawai Swasta,65.25,Ya,Tidak,Sudah,Perempuan,Tidak,20,2.47,2.4,Lulus Tepat Waktu
02637,Belum Menikah,Penyiaran,Siang,SMA/Sederajat,71,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,71,Ya,Tidak,Sudah,Perempuan,Ya,18,0,0,Lulus Tepat Waktu
02638,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,64.1,Tidak,Tidak,Sudah,Perempuan,Tidak,33,0,0,Gagal
02639,Belum Menikah,Manajemen,Siang,SMA/Sederajat,66.55,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,58.5,Tidak,Tidak,Sudah,Perempuan,Tidak,20,0,0,Gagal
02640,Belum Menikah,Perbankan,Siang,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,61.25,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.79,2.79,Lulus Tepat Waktu
02641,Belum Menikah,Perbankan,Siang,SMA/Sederajat,68,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Wiraswasta,74.4,Ya,Tidak,Sudah,Perempuan,Ya,19,2.85,2.85,Lulus Tepat Waktu
02642,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,62,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,56.95,Ya,Tidak,Sudah,Perempuan,Ya,20,2.4,3,Lulus Tepat Waktu
02644,Belum Menikah,Perbankan,Siang,SMA/Sederajat,70,Luar Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Swasta,70,Ya,Tidak,Belum,Perempuan,Tidak,23,2.27,2.27,Gagal
02646,Belum Menikah,Perbankan,Siang,SMA/Sederajat,74,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Pegawai Negri,68.5,Ya,Tidak,Sudah,Perempuan,Tidak,18,2.85,2.85,Lulus Tepat Waktu
02648,Belum Menikah,Akuntansi,Siang,Perguruan Tinggi,70,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,70,Ya,Tidak,Sudah,Perempuan,Tidak,21,2.4,2.2,Lulus Tidak Tepat Waktu
02649,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,57,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Lainnya,53.85,Tidak,Tidak,Sudah,Perempuan,Tidak,19,2,2.8,Gagal
02650,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Pegawai Swasta,Wiraswasta,61.6,Tidak,Tidak,Sudah,Perempuan,Tidak,27,2.13,2.28,Lulus Tidak Tepat Waktu
02655,Belum Menikah,Akuntansi,Siang,Perguruan Tinggi,85,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Lainnya,Pegawai Negri,55,Tidak,Tidak,Sudah,Laki-laki,Ya,25,2.83,2.7,Lulus Tepat Waktu
02656,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,58,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Lainnya,Lainnya,58.35,Ya,Tidak,Sudah,Laki-laki,Tidak,21,0,0,Gagal
02657,Menikah,Perpustakaan,Siang,Perguruan Tinggi,66.55,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Pegawai Swasta,Wiraswasta,70,Tidak,Tidak,Sudah,Perempuan,Tidak,29,2.52,2.53,Lulus Tepat Waktu
02658,Belum Menikah,Keperawatan,Siang,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,70,Ya,Tidak,Sudah,Perempuan,Ya,20,3.13,3.17,Lulus Tepat Waktu
02661,Cerai,Manajemen,Siang,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,65,Tidak,Tidak,Sudah,Perempuan,Tidak,53,2.64,2.6,Gagal
02662,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,60,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Wiraswasta,58.35,Tidak,Tidak,Sudah,Perempuan,Tidak,20,2.47,2.6,Lulus Tepat Waktu
02664,Belum Menikah,Manajemen,Siang,SMA/Sederajat,61,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,62.4,Ya,Tidak,Belum,Laki-laki,Tidak,19,0,0,Gagal
02665,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,64,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,67.85,Ya,Tidak,Sudah,Laki-laki,Tidak,19,2.64,2.65,Lulus Tidak Tepat Waktu
02667,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Pegawai Swasta,58.9,Tidak,Tidak,Sudah,Perempuan,Ya,19,2.3,0,Gagal
02668,Menikah,Ekonomi,Malam,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,56.7,Tidak,Tidak,Sudah,Perempuan,Tidak,33,2,2.4,Gagal
02670,Belum Menikah,Perbankan,Siang,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,60,Ya,Tidak,Sudah,Perempuan,Tidak,26,2.4,2.4,Lulus Tidak Tepat Waktu
02671,Belum Menikah,Penyiaran,Siang,SMA/Sederajat,73.5,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,75.95,Ya,Tidak,Sudah,Perempuan,Tidak,21,2.4,2.53,Lulus Tepat Waktu
02676,Belum Menikah,Agronomi,Siang,SMA/Sederajat,66.55,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Lainnya,55.25,Tidak,Tidak,Sudah,Perempuan,Tidak,19,2.85,2.8,Lulus Tepat Waktu
02677,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,66.55,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,47.5,Tidak,Tidak,Sudah,Laki-laki,Tidak,20,0,0,Gagal
02680,Belum Menikah,Agronomi,Siang,SMA/Sederajat,55.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,55.35,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.43,2.2,Lulus Tepat Waktu
